,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
268,1900-02-04,12:00,Eastbourne Borough,Taunton Town,1.8,3.45,4.2,1.95,1.75,1.85,1.85
269,1900-02-04,12:00,Welling United FC,Dartford FC,3.75,3.85,1.8,1.5,2.42,1.5,2.42
270,1900-02-04,12:00,Hungerford Town FC,Oxford City,3.25,3.5,2.05,1.75,1.95,1.65,2.12
271,1900-02-04,12:00,Chelmsford City,Bath City,1.8,3.45,4.2,1.95,1.75,1.85,1.85
272,1900-02-04,12:00,Cheshunt FC,Hemel Hempstead Town,2.7,3.4,2.42,1.75,1.95,1.62,2.15
273,1900-02-04,12:00,Concord Rangers,Farnborough,3.25,3.45,2.07,1.8,1.91,1.7,2.05
274,1900-02-04,12:00,Slough Town,Dover Athletic,2.02,3.65,3.2,1.62,2.15,1.55,2.3
275,1900-02-04,12:00,Tonbridge Angels,Worthing FC,2.55,3.55,2.47,1.6,2.22,1.5,2.42
276,1900-02-04,12:00,St Albans City,Hampton & Richmond Borough FC,1.55,4.15,5.1,1.6,2.18,1.7,2.02
277,1900-02-04,12:00,Ebbsfleet United,Havant & Waterlooville,1.75,3.7,4.25,1.7,2.02,1.65,2.1
278,1900-02-04,12:00,Weymouth,Dulwich Hamlet,2.72,3.4,2.4,1.8,1.91,1.65,2.12
279,1900-01-31,16:45,Belper Town,Hyde United FC,5.4,4.2,1.5,1.6,2.05,1.72,1.88
280,1900-01-31,16:45,Stalybridge Celtic,Radcliffe FC,2.0,3.7,3.15,1.72,1.88,1.65,1.98
281,1900-01-31,16:45,Liversedge,Gainsborough Trinity,5.6,4.05,1.5,1.65,1.98,1.75,1.87
282,1900-01-31,16:45,South Shields,Marske United FC,1.26,5.6,8.75,1.65,2.0,2.32,1.47
283,1900-02-04,12:00,Ashton Utd,Morpeth Town,2.07,3.3,3.3,1.7,1.93,1.57,2.12
284,1900-01-31,16:45,Herne Bay,Potters Bar Town FC,2.67,3.75,2.25,1.47,2.32,1.44,2.42
285,1900-01-31,16:45,Haringey Borough,Bishop's Stortford,3.9,3.85,1.75,1.62,2.02,1.62,2.02
286,1900-01-31,16:45,Brightlingsea Regent,Carshalton Athletic,4.7,4.45,1.53,1.57,2.12,1.7,1.91
287,1900-01-31,16:45,Lewes FC,Wingate & Finchley,1.6,3.95,4.8,1.57,2.1,1.62,2.02
288,1900-01-31,16:45,Bowers Pitsea,Corinthian Casuals,2.18,3.4,3.0,1.75,1.85,1.62,2.02
289,1900-02-01,16:45,Kingstonian,Margate FC,2.35,3.55,2.6,1.72,1.88,1.62,2.02
290,1900-01-31,16:30,Hartley Wintney,Chesham Utd,3.65,4.05,1.75,1.45,2.37,1.47,2.32
291,1900-01-31,16:45,Plymouth Parkway,Beaconsfield Town FC,1.83,4.05,3.35,1.47,2.35,1.47,2.32
292,1900-01-31,16:45,Salisbury FC,Gosport Borough,2.05,3.75,2.95,1.53,2.18,1.5,2.27
293,1900-02-01,16:45,Yate Town,Hendon FC,2.47,3.65,2.45,1.57,2.1,1.52,2.22
294,1900-01-31,16:45,Tamworth FC,St Ives Town,1.5,4.5,4.9,1.45,2.37,1.6,2.07
295,1900-01-31,16:45,Royston Town,Nuneaton Borough FC,3.0,3.65,2.07,1.57,2.1,1.52,2.22
296,1900-01-31,16:45,Coalville Town,Rushall Olympic,1.82,3.65,3.75,1.7,1.93,1.65,1.98
297,1900-01-31,16:45,Bedford Town,Stratford Town FC,2.0,3.8,3.05,1.33,2.77,1.32,2.85
298,1900-01-31,16:45,Needham Market FC,Alvechurch,1.98,3.65,3.25,1.65,1.98,1.6,2.07
299,1900-01-31,16:45,Leiston FC,Ilkeston Town,1.57,4.0,5.0,1.5,2.25,1.57,2.12
300,1900-01-31,16:45,Harrow Borough FC,Halifax Town,4.35,4.05,1.62,1.53,2.2,1.57,2.1
301,1900-01-31,16:45,Banbury United,Coalville Town,2.12,3.5,3.0,1.53,2.18,1.47,2.35
302,1900-01-31,16:45,Kidsgrove Athletic FC,Colne FC,1.98,3.3,3.4,1.65,1.98,,
303,1900-01-31,16:45,Trafford FC,Skelmersdale United,1.98,3.6,3.15,1.53,2.18,,
304,1900-01-31,16:45,Hebburn Town,Brighouse Town,2.07,3.5,3.0,1.62,2.02,,
305,1900-01-31,16:45,Tadcaster Albion,Sheffield FC,4.6,3.9,1.6,1.53,2.18,,
306,1900-01-31,16:45,Cirencester Town,Barton Rovers,1.26,5.4,8.25,,,,
307,1900-01-31,16:45,Maldon & Tiptree FC,Wroxham,2.12,3.45,2.92,1.62,2.02,,
308,1900-01-31,16:45,Chichester City Utd,Lancing FC,2.2,3.2,3.0,1.65,2.0,,
309,1900-01-31,16:00,Arsenal Sub-21,Burnley Sub-21,2.02,3.9,2.95,1.32,2.85,1.31,2.87
