03 fev 16:30,2.0,1.7,2.5,3.0,2.7,Será Disponibilizado Ao Vivo,Modena,Cagliari,,,
03 fev 16:30,1.83,1.83,1.95,3.25,3.5,Será Disponibilizado Ao Vivo,Widzew Lodz,Jagiellonia Bialystock,,,
03 fev 16:45,2.1,3.6,2.8,Kilbarrack United,UCD (LSL),,,,,,
03 fev 16:45,3.0,3.5,2.0,Skerries Town,Tolka Rovers,,,,,,
03 fev 16:45,1.5,4.33,4.5,Cobh Wanderers,Castleview,,,,,,
03 fev 16:45,1.68,2.05,3.5,3.5,1.85,Será Disponibilizado Ao Vivo,KV Oostende,Anderlecht,,,
03 fev 16:45,1.6,2.1,1.65,3.75,4.0,Será Disponibilizado Ao Vivo,Red Bull Salzburg,Sturm Graz,,,
03 fev 16:45,1.72,1.95,2.9,3.3,2.15,Será Disponibilizado Ao Vivo,Scunthorpe,Barnet,,,
03 fev 16:45,1.6,2.2,1.95,3.5,3.25,Será Disponibilizado Ao Vivo,Queens Park,Ayr,,,
03 fev 16:45,2.4,1.5,1.95,3.0,3.75,Será Disponibilizado Ao Vivo,Caen,Bastia,,,
03 fev 16:45,2.4,1.5,2.6,2.8,2.8,Será Disponibilizado Ao Vivo,Nimes,Grenoble,,,
03 fev 16:45,2.4,1.5,1.85,3.0,4.0,Será Disponibilizado Ao Vivo,Le Havre,Paris FC,,,
03 fev 16:45,2.3,1.55,3.25,3.0,2.2,Será Disponibilizado Ao Vivo,Rodez,Sochaux,,,
03 fev 16:45,2.15,1.62,1.8,3.25,4.5,Será Disponibilizado Ao Vivo,Dijon,Niort,,,
03 fev 16:45,2.1,1.65,3.5,3.25,1.95,Será Disponibilizado Ao Vivo,Pau,Bordeaux,,,
03 fev 16:45,2.25,1.58,2.5,2.9,2.7,Será Disponibilizado Ao Vivo,Valenciennes,Laval,,,
03 fev 16:45,2.25,1.58,2.2,3.0,3.0,Será Disponibilizado Ao Vivo,Quevilly Rouen,Guingamp,,,
03 fev 17:00,2.0,1.72,1.4,4.25,8.0,Será Disponibilizado Ao Vivo,Athletic Bilbao,Cadiz,,,
03 fev 17:00,1.85,1.85,1.55,4.1,5.5,Será Disponibilizado Ao Vivo,Chelsea,Fulham,,,
03 fev 17:00,1.9,1.8,1.7,3.5,4.5,Será Disponibilizado Ao Vivo,West Brom,Coventry,,,
03 fev 17:00,2.9,1.35,2.3,2.7,3.25,Será Disponibilizado Ao Vivo,Malaga,Oviedo,,,
03 fev 17:00,2.2,1.55,1.6,3.5,5.0,Será Disponibilizado Ao Vivo,Uruguai Sub20,Equador  Sub20,,,
03 fev 17:15,2.0,1.68,1.9,3.25,3.6,Será Disponibilizado Ao Vivo,Farense,Club Football Estrela,,,
03 fev 18:00,2.2,1.55,2.7,2.9,2.5,Será Disponibilizado Ao Vivo,Tacuary,Guairena,,,
